"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.shiptrack","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\ShiptrackApplication.java","3","7","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"1","com.shiptrack.controller","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\controller\AuthController.java","3","227","Avoid unused private methods such as 'isValidPassword(String)'.","Best Practices","UnusedPrivateMethod"
"1","com.shiptrack.controller","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\controller\HomeController.java","3","78","Avoid unused local variables such as 'allShipments'.","Best Practices","UnusedLocalVariable"
"1","com.shiptrack.model","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\model\PasswordPolicy.java","3","22","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"2","com.shiptrack.model","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\model\PasswordPolicy.java","3","22","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.shiptrack.model","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\model\Shipment.java","3","61","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"2","com.shiptrack.model","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\model\Shipment.java","3","61","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.shiptrack.util","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\util\MyLogger.java","3","9","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"1","com.shiptrack.util","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\util\SessionHelper.java","3","7","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"1","com.shiptrack.util","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\util\passHashGen.java","3","5","All methods are static. Consider adding a private no-args constructor to prevent instantiation.","Design","UseUtilityClass"
"2","com.shiptrack.util","C:\Users\hamad\Desktop\UNI\Third year\Second semester\Secure coding\Final Assignment\Code\shiptrack\src\main\java\com\shiptrack\util\passHashGen.java","1","5","The class name 'passHashGen' doesn't match '[A-Z][a-zA-Z0-9]*'","Code Style","ClassNamingConventions"
